TimeGenerated [UTC],OperationName,CorrelationId,Region,IsRequestSuccess,Category,TotalTime,CallerIpAddress,Method,Url,ClientProtocol,ResponseCode,BackendMethod,BackendUrl,BackendResponseCode,BackendProtocol,RequestSize,ResponseSize,Cache,BackendTime
"7/30/2024, 4:49:37.318 PM",Microsoft.ApiManagement/GatewayLogs,3df334e9-cedf-419f-880c-22140089b64d,East US,TRUE,GatewayLogs,152,76.8.80.106,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/21eb1b79-3840-51a4-1537-609f1f5cc4a4,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/21eb1b79-3840-51a4-1537-609f1f5cc4a4,201,HTTP/1.1,643,363,none,58
"7/30/2024, 4:49:38.068 PM",Microsoft.ApiManagement/GatewayLogs,73260652-ce5a-47a2-8614-5852861343d8,East US,TRUE,GatewayLogs,518,166.156.2.221,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/8d0e0725-8e22-e2d7-4610-2475660542ad/requests,HTTP/1.1,200,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/8d0e0725-8e22-e2d7-4610-2475660542ad/requests,200,HTTP/1.1,2159,222,none,262
"7/30/2024, 4:49:40.240 PM",Microsoft.ApiManagement/GatewayLogs,54991335-f809-4b1f-9cd5-0b12bced9757,East US,TRUE,GatewayLogs,147,204.74.204.224,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/82639b80-ee95-16ab-a5d7-9c95c8d27f4e,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/82639b80-ee95-16ab-a5d7-9c95c8d27f4e,201,HTTP/1.1,646,363,none,69
"7/30/2024, 4:49:40.552 PM",Microsoft.ApiManagement/GatewayLogs,7bfaed5c-7f5c-4c8c-97db-1cbb093db68d,East US,FALSE,GatewayLogs,147,165.225.36.249,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/0413323b-734a-5bc3-caa8-acf77ae60240,HTTP/1.1,403,,,,,,105,none,
"7/30/2024, 4:49:40.849 PM",Microsoft.ApiManagement/GatewayLogs,7b2f9fe3-9e52-4835-871c-875758f68244,East US,TRUE,GatewayLogs,406,158.48.6.140,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/190e5205-fb4a-c247-c50a-70612cc1716f,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/190e5205-fb4a-c247-c50a-70612cc1716f,201,HTTP/1.1,649,351,none,262
"7/30/2024, 4:49:40.615 PM",Microsoft.ApiManagement/GatewayLogs,1106329d-539a-4cb7-ad05-a9928f74055d,East US,TRUE,GatewayLogs,952,165.225.125.64,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/c72efcbb-90df-5dff-e942-a4ac0fa25e0f,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/c72efcbb-90df-5dff-e942-a4ac0fa25e0f,201,HTTP/1.1,655,363,none,62
"7/30/2024, 4:49:42.255 PM",Microsoft.ApiManagement/GatewayLogs,82f90dcc-1446-4982-8f27-60a7893becf5,East US,TRUE,GatewayLogs,206,161.247.128.1,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/93688457-c913-039d-9f94-e8e6412c03f7,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/93688457-c913-039d-9f94-e8e6412c03f7,201,HTTP/1.1,648,351,none,54
"7/30/2024, 4:49:43.802 PM",Microsoft.ApiManagement/GatewayLogs,659c913d-e583-4c33-9440-93ae47126809,East US,TRUE,GatewayLogs,385,156.44.152.249,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/ce2c85bf-635d-cf5b-bcac-627a608e5104/requests,HTTP/1.1,204,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/ce2c85bf-635d-cf5b-bcac-627a608e5104/requests,204,HTTP/1.1,691,157,none,147
"7/30/2024, 4:49:45.336 PM",Microsoft.ApiManagement/GatewayLogs,864edd5f-ce6f-46d6-b44f-388f5dbd8f99,East US,FALSE,GatewayLogs,277,167.20.119.138,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/31a19585-575d-b5f1-f58c-953c75b31604,HTTP/1.1,403,,,,,,105,none,
"7/30/2024, 4:49:46.492 PM",Microsoft.ApiManagement/GatewayLogs,4fe564fc-b56d-4643-872d-49938a0ff544,East US,TRUE,GatewayLogs,682,156.44.35.249,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/dce6dda2-91fe-85b8-7ea6-f80a952e945e/requests,HTTP/1.1,204,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/dce6dda2-91fe-85b8-7ea6-f80a952e945e/requests,204,HTTP/1.1,690,157,none,160
"7/30/2024, 4:49:45.914 PM",Microsoft.ApiManagement/GatewayLogs,af5af630-842e-474b-9a79-0cc280a719e4,East US,TRUE,GatewayLogs,1747,156.44.152.234,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/25fa636f-a6a9-9aa0-24f5-a4dd311d9ee3/requests,HTTP/1.1,204,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/25fa636f-a6a9-9aa0-24f5-a4dd311d9ee3/requests,204,HTTP/1.1,691,158,none,1416
"7/30/2024, 4:49:47.398 PM",Microsoft.ApiManagement/GatewayLogs,328c75a8-ac92-4d4f-911d-511567e703db,East US,TRUE,GatewayLogs,440,156.44.152.250,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/63cbac40-075a-b135-bcd6-0f158723a10f/requests,HTTP/1.1,204,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/63cbac40-075a-b135-bcd6-0f158723a10f/requests,204,HTTP/1.1,691,156,none,96
"7/30/2024, 4:49:47.726 PM",Microsoft.ApiManagement/GatewayLogs,4adfffb9-c5b6-42d9-ab10-333ca6b76360,East US,FALSE,GatewayLogs,921,72.171.11.36,PUT,https://c2e-prod-devices.azure-api.net/iep/V2/devices/da6c8632-c424-243d-6226-2f5b5cf469fa,HTTP/1.1,400,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/V2/devices/da6c8632-c424-243d-6226-2f5b5cf469fa,400,HTTP/1.1,667,380,none,5
"7/30/2024, 4:49:49.804 PM",Microsoft.ApiManagement/GatewayLogs,0d3a0ebf-cd1e-48a6-8e44-f206d41b46bb,East US,TRUE,GatewayLogs,193,199.59.33.253,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/f513ffe6-7898-9fbb-0f1c-e04db2863677,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/f513ffe6-7898-9fbb-0f1c-e04db2863677,201,HTTP/1.1,658,363,none,62
